id,title,description,videoUrl,thumbnailUrl,bodyArea,purpose,durationMinutes,intensity
upper-body-shoulder-rolls,肩回し,肩の可動域を広げる軽い動き,https://www.youtube.com/watch?v=equcr3cpxNQ,/thumbnails/upper-body-shoulder-rolls.jpg,upper-body,warmup,0.7,low
upper-body-deep-breathing,深呼吸,呼吸を整えて体を落ち着かせる,https://www.youtube.com/watch?v=equcr3cpxNQ,/thumbnails/upper-body-deep-breathing.jpg,upper-body,recovery,0.9,low
upper-body-side-bend,体幹側屈,上半身をゆっくり横に伸ばす,https://www.youtube.com/watch?v=equcr3cpxNQ,/thumbnails/upper-body-side-bend.jpg,upper-body,mobility,1.6,low
upper-body-forward-bend,体幹前屈,背中と体幹の柔軟性を高める,https://www.youtube.com/watch?v=equcr3cpxNQ,/thumbnails/upper-body-forward-bend.jpg,upper-body,mobility,1.0,low
upper-body-step-in-place,足踏み,軽く足を踏み込んで体を起こす,https://www.youtube.com/watch?v=equcr3cpxNQ,/thumbnails/upper-body-step-in-place.jpg,full-body,warmup,0.8,low
upper-body-deltoid-stretch,三角筋ストレッチ,肩周りをやわらかくするストレッチ,https://www.youtube.com/watch?v=equcr3cpxNQ,/thumbnails/upper-body-deltoid-stretch.jpg,upper-body,mobility,1.5,low
upper-body-triceps-stretch,上腕三頭筋ストレッチ,腕の後側を伸ばすストレッチ,https://www.youtube.com/watch?v=equcr3cpxNQ,/thumbnails/upper-body-triceps-stretch.jpg,upper-body,mobility,1.6,low
upper-body-wrist-stretch,手関節ストレッチ,手首の可動域を整える,https://www.youtube.com/watch?v=equcr3cpxNQ,/thumbnails/upper-body-wrist-stretch.jpg,upper-body,mobility,1.6,low
upper-body-finger-clench,手指グーパー,指を閉じて開く動作で手をほぐす,https://www.youtube.com/watch?v=equcr3cpxNQ,/thumbnails/upper-body-finger-clench.jpg,upper-body,mobility,0.5,low
upper-body-open-book,オープンブック,胸と背中をゆっくり開く,https://www.youtube.com/watch?v=equcr3cpxNQ,/thumbnails/upper-body-open-book.jpg,upper-body,mobility,1.2,low
upper-body-push-pull-front,プッシュ＆プル（前後）,前後に腕を動かして肩をほぐす,https://www.youtube.com/watch?v=equcr3cpxNQ,/thumbnails/upper-body-push-pull-front.jpg,upper-body,mobility,0.6,low
upper-body-push-pull-up,プッシュ&プル（上下）,上下に腕を動かして肩をほぐす,https://www.youtube.com/watch?v=equcr3cpxNQ,/thumbnails/upper-body-push-pull-up.jpg,upper-body,mobility,0.6,low
upper-body-wi,W&I,肩と腕を使って軽い調整を行う,https://www.youtube.com/watch?v=equcr3cpxNQ,/thumbnails/upper-body-wi.jpg,upper-body,mobility,0.7,low
upper-body-finger-mobility,手指の運動,指と手首の動きを活性化する,https://www.youtube.com/watch?v=equcr3cpxNQ,/thumbnails/upper-body-finger-mobility.jpg,upper-body,mobility,1.0,low
lower-body-warmup-shoulder-rolls,肩回し,下半身の準備に合わせて肩を回す,https://www.youtube.com/watch?v=feuswUpPQTU,/thumbnails/lower-body-warmup-shoulder-rolls.jpg,upper-body,warmup,0.6,low
lower-body-warmup-deep-breathing,深呼吸,呼吸を整えて体を落ち着かせる,https://www.youtube.com/watch?v=feuswUpPQTU,/thumbnails/lower-body-warmup-deep-breathing.jpg,full-body,recovery,0.9,low
lower-body-warmup-side-bend,体幹側屈,体幹をゆっくり横に伸ばす,https://www.youtube.com/watch?v=feuswUpPQTU,/thumbnails/lower-body-warmup-side-bend.jpg,lower-body,mobility,1.6,low
lower-body-warmup-forward-bend,体幹前屈,上体を前に曲げて柔軟性を高める,https://www.youtube.com/watch?v=feuswUpPQTU,/thumbnails/lower-body-warmup-forward-bend.jpg,lower-body,mobility,1.0,low
lower-body-warmup-step-in-place,足踏み,軽く足を踏み込む準備運動,https://www.youtube.com/watch?v=feuswUpPQTU,/thumbnails/lower-body-warmup-step-in-place.jpg,lower-body,warmup,0.8,low
lower-body-warmup-glute-stretch,臀筋ストレッチ(大臀筋),大臀筋を伸ばして股関節を緩める,https://www.youtube.com/watch?v=feuswUpPQTU,/thumbnails/lower-body-warmup-glute-stretch.jpg,lower-body,mobility,1.5,low
lower-body-warmup-glute-med-stretch,臀筋ストレッチ（中臀筋）,中臀筋を伸ばして骨盤周りを整える,https://www.youtube.com/watch?v=feuswUpPQTU,/thumbnails/lower-body-warmup-glute-med-stretch.jpg,lower-body,mobility,1.5,low
